Position,GK,CB,L/RB,DMF,CMF,AMF,L/RMF,L/RWF,SS,CF
Offensive Awareness,45,55,60,62,65,68,68,71,75,72
Ballcontrol,50,66,66,68,73,73,68,68,70,63
Dribbling,50,60,63,63,68,68,68,68,70,63
Tight Possession,48,66,66,66,68,68,68,68,68,63
Low Pass,60,66,66,70,73,73,68,63,70,63
Lofted Pass,65,66,68,70,73,70,70,68,63,60
Finishing,45,53,60,60,63,68,63,65,68,72
Heading,65,66,48,60,60,60,48,48,60,66
Set Piece Taking,50,55,58,58,60,60,60,60,60,60
Curl,50,55,58,58,60,60,60,60,60,60
Speed,58,60,65,65,65,65,65,65,65,60
Accleration,58,60,65,65,65,65,65,65,65,60
Kicking Power,70,68,68,68,68,68,63,63,68,68
Jump,75,68,63,63,60,58,58,58,58,68
Physical Contact,73,70,60,67,67,65,60,60,60,65
Balance,60,60,60,60,60,60,60,60,60,60
Stamina,60,65,65,65,65,65,65,65,65,65
Defensive Awareness,55,72,66,66,63,53,53,43,43,43
Ball winning,50,73,63,63,63,48,48,48,45,45
Aggression,50,73,63,63,63,48,48,48,45,45
GK Awareness,80,40,40,40,40,40,40,40,40,40
GK Catching,77,40,40,40,40,40,40,40,40,40
GK Clearing,77,40,40,40,40,40,40,40,40,40
GK Reflexes,80,40,40,40,40,40,40,40,40,40
GK Reach,75,40,40,40,40,40,40,40,40,40
